model,temperature,metric,configurations,spearman_rho,spearman_p_raw,spearman_p_holm,spearman_significant_holm_05,pearson_r,pearson_p_raw,pearson_p_holm,pearson_significant_holm_05,family_definition
meta-llama/Llama-3.1-8B,1.0,mean_ttr,11,0.9,0.0005999400059994001,0.020397960203979604,True,0.8594632284773114,0.0011998800119988001,0.035996400359964,True,52 model×temperature×metric primary tests
meta-llama/Llama-3.1-8B-Instruct,0.7,mean_mtld,11,-0.05922566618516668,0.8648135186481352,1.0,False,-0.13552644789184998,0.6872312768723128,1.0,False,52 model×temperature×metric primary tests
meta-llama/Llama-3.1-8B-Instruct,0.7,mean_ttr,11,0.13211879379767952,0.7058294170582942,1.0,False,0.1281444643001537,0.7122287771222878,1.0,False,52 model×temperature×metric primary tests
meta-llama/Llama-3.1-8B-Instruct,1.0,mean_mtld,11,0.48738851926400506,0.1416858314168583,1.0,False,0.45125924138684637,0.17618238176182383,1.0,False,52 model×temperature×metric primary tests
meta-llama/Llama-3.1-8B-Instruct,1.0,mean_ttr,11,0.5977406368332138,0.05959404059594041,1.0,False,0.5975692158146277,0.053894610538946106,0.9162083791620838,False,52 model×temperature×metric primary tests
mistralai/Mistral-7B-Instruct-v0.3,0.7,mean_mtld,11,0.6788172508915258,0.026297370262973702,0.5522447755224478,False,0.6887432547632805,0.0235976402359764,0.49555044495550443,False,52 model×temperature×metric primary tests
mistralai/Mistral-7B-Instruct-v0.3,0.7,mean_ttr,11,0.792712762786077,0.005099490050994901,0.13258674132586742,False,0.580953439272942,0.05929407059294071,0.9487051294870513,False,52 model×temperature×metric primary tests
mistralai/Mistral-7B-Instruct-v0.3,1.0,mean_mtld,11,0.6818181818181818,0.023897610238976102,0.5257474252574743,False,0.677097890269052,0.0235976402359764,0.49555044495550443,False,52 model×temperature×metric primary tests
mistralai/Mistral-7B-Instruct-v0.3,1.0,mean_ttr,11,0.6454545454545455,0.038896110388961104,0.7390260973902609,False,0.6148225299165805,0.0471952804719528,0.8495150484951505,False,52 model×temperature×metric primary tests
mistralai/Mistral-7B-v0.3,0.7,mean_mtld,11,0.9248315565837566,0.00019998000199980003,0.008599140085991401,True,0.8538977804871288,0.0011998800119988001,0.035996400359964,True,52 model×temperature×metric primary tests
mistralai/Mistral-7B-v0.3,0.7,mean_ttr,11,0.8972602739726028,0.0005999400059994001,0.020397960203979604,True,0.9029375758618757,9.999000099990002e-05,0.005199480051994801,True,52 model×temperature×metric primary tests
mistralai/Mistral-7B-v0.3,1.0,mean_mtld,11,0.9360828182033074,9.999000099990002e-05,0.005199480051994801,True,0.9367264333284957,9.999000099990002e-05,0.005199480051994801,True,52 model×temperature×metric primary tests
mistralai/Mistral-7B-v0.3,1.0,mean_ttr,11,0.9726128794014852,9.999000099990002e-05,0.005199480051994801,True,0.9357027737113993,9.999000099990002e-05,0.005199480051994801,True,52 model×temperature×metric primary tests
