model_slug,temperature,decoder,contrast,metric,paired_contexts,mean_paired_difference,median_paired_difference,wilcoxon_statistic,wilcoxon_p_raw,wilcoxon_p_holm,significant_holm_05,family_definition
gemma4-e4b-it,1.0,min_p,min-p .10→.01,ttr,50,0.0034000000000000007,0.0,458.0,0.664647726323207,1.0,False,156 secondary endpoint tests
gemma4-e4b-it,1.0,min_p,min-p .10→.01,mtld,50,2.00128479458676,0.0,460.5,0.6872164981185338,1.0,False,156 secondary endpoint tests
llama31-8b-base,0.7,top_k,top-k 10→80,ttr,39,0.0376923076923077,0.040000000000000036,127.0,0.0012044371596249056,0.1493502077934883,False,156 secondary endpoint tests
llama31-8b-base,0.7,top_k,top-k 10→80,mtld,39,7.78703397806678,10.919899874843559,171.0,0.010921777138785399,1.0,False,156 secondary endpoint tests
llama31-8b-base,0.7,top_p,top-p .80→.99,ttr,41,0.04780487804878049,0.020000000000000018,205.5,0.005926449872253066,0.6341301363310781,False,156 secondary endpoint tests
llama31-8b-base,0.7,top_p,top-p .80→.99,mtld,41,6.601123829550708,6.764069264069256,276.0,0.11163888874192278,1.0,False,156 secondary endpoint tests
llama31-8b-base,0.7,min_p,min-p .10→.01,ttr,37,0.01972972972972974,0.010000000000000009,258.5,0.24158506135886193,1.0,False,156 secondary endpoint tests
llama31-8b-base,0.7,min_p,min-p .10→.01,mtld,37,0.04402408578249471,2.6123301985370944,264.5,0.5726212220230275,1.0,False,156 secondary endpoint tests
llama31-8b-base,1.0,top_k,top-k 10→80,ttr,40,0.033999999999999996,0.034999999999999976,163.0,0.002611678800169074,0.2957606413863872,False,156 secondary endpoint tests
llama31-8b-base,1.0,top_k,top-k 10→80,mtld,40,11.827726516188653,6.973599812464528,216.5,0.0255239083564106,1.0,False,156 secondary endpoint tests
llama31-8b-base,1.0,top_p,top-p .80→.99,ttr,43,0.05674418604651163,0.050000000000000044,54.5,1.0821470367594859e-06,0.0001688149377344798,True,156 secondary endpoint tests
llama31-8b-base,1.0,top_p,top-p .80→.99,mtld,43,23.735510202626717,17.447916666666686,93.0,4.461234219880733e-06,0.0006825688356417522,True,156 secondary endpoint tests
llama31-8b-base,1.0,min_p,min-p .10→.01,ttr,40,0.03924999999999999,0.039999999999999925,226.5,0.013569663081207755,1.0,False,156 secondary endpoint tests
llama31-8b-base,1.0,min_p,min-p .10→.01,mtld,40,10.95867005661818,7.692307692307708,219.0,0.02800543067858121,1.0,False,156 secondary endpoint tests
llama31-8b-instruct,0.7,top_k,top-k 10→80,ttr,46,0.00478260869565218,0.0,377.5,0.8613461458945519,1.0,False,156 secondary endpoint tests
llama31-8b-instruct,0.7,top_k,top-k 10→80,mtld,46,0.13577837250175814,0.0,331.0,0.7571136724071802,1.0,False,156 secondary endpoint tests
llama31-8b-instruct,0.7,top_p,top-p .80→.99,ttr,47,-0.007446808510638307,-0.010000000000000009,295.5,0.07959771332916335,1.0,False,156 secondary endpoint tests
llama31-8b-instruct,0.7,top_p,top-p .80→.99,mtld,47,-4.781118344248073,0.0,395.5,0.3493672413793961,1.0,False,156 secondary endpoint tests
llama31-8b-instruct,0.7,min_p,min-p .10→.01,ttr,48,0.006249999999999999,0.0,376.0,0.6472817107221633,1.0,False,156 secondary endpoint tests
llama31-8b-instruct,0.7,min_p,min-p .10→.01,mtld,48,0.8617034165310381,1.4298537123853094,511.5,0.7513627882823306,1.0,False,156 secondary endpoint tests
llama31-8b-instruct,1.0,top_k,top-k 10→80,ttr,45,0.020000000000000018,0.010000000000000009,289.0,0.04177567365382567,1.0,False,156 secondary endpoint tests
llama31-8b-instruct,1.0,top_k,top-k 10→80,mtld,45,8.503597010186601,5.0,328.0,0.12253198228691842,1.0,False,156 secondary endpoint tests
llama31-8b-instruct,1.0,top_p,top-p .80→.99,ttr,43,0.034418604651162796,0.030000000000000027,116.5,0.0003884610506892187,0.05127685869097687,False,156 secondary endpoint tests
llama31-8b-instruct,1.0,top_p,top-p .80→.99,mtld,43,13.84023452546654,15.822784810126606,154.5,0.0005940226848567831,0.07603490366166823,False,156 secondary endpoint tests
llama31-8b-instruct,1.0,min_p,min-p .10→.01,ttr,46,0.025217391304347837,0.024999999999999967,275.5,0.016963288664906956,1.0,False,156 secondary endpoint tests
llama31-8b-instruct,1.0,min_p,min-p .10→.01,mtld,46,8.488611177278194,11.482292907909791,327.5,0.03197795654726688,1.0,False,156 secondary endpoint tests
mistral7b-v03-base,0.7,top_k,top-k 10→80,ttr,38,0.0344736842105263,0.03999999999999998,191.5,0.01576159711524089,1.0,False,156 secondary endpoint tests
mistral7b-v03-base,0.7,top_k,top-k 10→80,mtld,38,6.729909618981331,1.475409836065575,222.0,0.1276935960760226,1.0,False,156 secondary endpoint tests
mistral7b-v03-base,0.7,top_p,top-p .80→.99,ttr,42,0.06571428571428571,0.06999999999999995,153.5,0.0003304957558999967,0.043955935534699564,True,156 secondary endpoint tests
mistral7b-v03-base,0.7,top_p,top-p .80→.99,mtld,42,11.978051736795392,6.805016643642942,222.0,0.006896153858272127,0.7309923089768455,False,156 secondary endpoint tests
mistral7b-v03-base,0.7,min_p,min-p .10→.01,ttr,43,0.07186046511627908,0.050000000000000044,142.5,0.00032154483864799106,0.0430870083788308,True,156 secondary endpoint tests
mistral7b-v03-base,0.7,min_p,min-p .10→.01,mtld,43,3.877674330015271,3.7037037037036953,306.0,0.16214462435234045,1.0,False,156 secondary endpoint tests
mistral7b-v03-base,1.0,top_k,top-k 10→80,ttr,36,0.046388888888888875,0.04999999999999993,99.0,0.0003988180959100994,0.05224517056422302,False,156 secondary endpoint tests
mistral7b-v03-base,1.0,top_k,top-k 10→80,mtld,36,15.636448781853236,18.565009726005634,177.5,0.014564442217816803,1.0,False,156 secondary endpoint tests
mistral7b-v03-base,1.0,top_p,top-p .80→.99,ttr,31,0.06483870967741936,0.04999999999999993,72.5,0.0017089134261917994,0.20336069771682413,False,156 secondary endpoint tests
