temperature,model,decoder,parameter,word_any_wcs,word_all_wcs,covered_words_any,covered_words_all,total_words,covered_contexts,total_contexts,audit_path
1.0,google/gemma-3-27b-pt,top_k,14.0,0.78,0.0,78,0,100,207,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,15.0,0.8,0.0,80,0,100,217,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,16.0,0.81,0.0,81,0,100,223,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,17.0,0.81,0.0,81,0,100,233,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,18.0,0.83,0.0,83,0,100,241,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,19.0,0.83,0.0,83,0,100,243,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_k,20.0,0.84,0.0,84,0,100,249,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_p,0.5,0.33,0.0,33,0,100,41,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_p,0.55,0.39,0.0,39,0,100,50,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_p,0.6,0.48,0.0,48,0,100,63,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_p,0.65,0.53,0.0,53,0,100,79,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_p,0.7,0.58,0.0,58,0,100,96,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_p,0.75,0.63,0.0,63,0,100,118,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_p,0.8,0.74,0.0,74,0,100,148,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_p,0.85,0.8,0.0,80,0,100,192,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_p,0.9,0.88,0.0,88,0,100,258,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_p,0.95,0.96,0.0,96,0,100,356,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,top_p,0.99,1.0,0.01,100,1,100,605,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,min_p,0.01,0.84,0.0,84,0,100,243,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,min_p,0.02,0.79,0.0,79,0,100,206,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,min_p,0.03,0.76,0.0,76,0,100,183,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,min_p,0.04,0.7,0.0,70,0,100,153,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,min_p,0.05,0.67,0.0,67,0,100,143,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,min_p,0.06,0.66,0.0,66,0,100,131,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,min_p,0.07,0.66,0.0,66,0,100,125,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,min_p,0.08,0.65,0.0,65,0,100,122,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,min_p,0.09,0.65,0.0,65,0,100,118,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.0,google/gemma-3-27b-pt,min_p,0.1,0.64,0.0,64,0,100,113,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,1.0,0.26,0.0,26,0,100,32,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,2.0,0.39,0.0,39,0,100,54,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,3.0,0.48,0.0,48,0,100,79,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,4.0,0.52,0.0,52,0,100,97,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,5.0,0.58,0.0,58,0,100,114,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,6.0,0.61,0.0,61,0,100,126,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,7.0,0.63,0.0,63,0,100,135,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,8.0,0.63,0.0,63,0,100,148,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,9.0,0.7,0.0,70,0,100,167,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,10.0,0.73,0.0,73,0,100,177,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,11.0,0.75,0.0,75,0,100,188,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,12.0,0.77,0.0,77,0,100,194,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,13.0,0.77,0.0,77,0,100,202,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,14.0,0.78,0.0,78,0,100,207,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,15.0,0.8,0.0,80,0,100,217,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,16.0,0.81,0.0,81,0,100,223,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,17.0,0.81,0.0,81,0,100,233,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,18.0,0.83,0.0,83,0,100,241,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,19.0,0.83,0.0,83,0,100,243,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_k,20.0,0.84,0.0,84,0,100,249,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_p,0.5,0.9,0.0,90,0,100,255,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_p,0.55,0.92,0.0,92,0,100,296,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_p,0.6,0.94,0.0,94,0,100,355,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_p,0.65,0.97,0.0,97,0,100,412,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_p,0.7,0.98,0.0,98,0,100,482,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_p,0.75,0.99,0.01,99,1,100,552,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_p,0.8,1.0,0.02,100,2,100,638,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_p,0.85,1.0,0.1,100,10,100,735,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_p,0.9,1.0,0.17,100,17,100,817,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_p,0.95,1.0,0.43,100,43,100,915,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,top_p,0.99,1.0,0.92,100,92,100,992,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,min_p,0.01,0.97,0.0,97,0,100,392,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,min_p,0.02,0.93,0.0,93,0,100,320,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,min_p,0.03,0.88,0.0,88,0,100,288,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,min_p,0.04,0.85,0.0,85,0,100,258,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,min_p,0.05,0.83,0.0,83,0,100,236,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,min_p,0.06,0.83,0.0,83,0,100,224,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,min_p,0.07,0.79,0.0,79,0,100,206,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,min_p,0.08,0.79,0.0,79,0,100,202,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,min_p,0.09,0.76,0.0,76,0,100,183,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
1.5,google/gemma-3-27b-pt,min_p,0.1,0.72,0.0,72,0,100,171,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-base.jsonl
