temperature,model,decoder,parameter,word_any_wcs,word_all_wcs,covered_words_any,covered_words_all,total_words,covered_contexts,total_contexts,audit_path
1.0,google/gemma-3-27b-it,top_k,6.0,0.62,0.0,62,0,100,127,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,7.0,0.64,0.0,64,0,100,135,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,8.0,0.64,0.0,64,0,100,146,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,9.0,0.67,0.0,67,0,100,160,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,10.0,0.69,0.0,69,0,100,167,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,11.0,0.7,0.0,70,0,100,170,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,12.0,0.7,0.0,70,0,100,176,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,13.0,0.71,0.0,71,0,100,182,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,14.0,0.71,0.0,71,0,100,188,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,15.0,0.71,0.0,71,0,100,193,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,16.0,0.74,0.0,74,0,100,198,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,17.0,0.75,0.0,75,0,100,202,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,18.0,0.75,0.0,75,0,100,206,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,19.0,0.75,0.0,75,0,100,207,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_k,20.0,0.76,0.0,76,0,100,216,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_p,0.5,0.36,0.0,36,0,100,46,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_p,0.55,0.4,0.0,40,0,100,53,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_p,0.6,0.45,0.0,45,0,100,62,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_p,0.65,0.48,0.0,48,0,100,74,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_p,0.7,0.53,0.0,53,0,100,94,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_p,0.75,0.58,0.0,58,0,100,118,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_p,0.8,0.66,0.0,66,0,100,140,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_p,0.85,0.77,0.0,77,0,100,184,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_p,0.9,0.85,0.0,85,0,100,240,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_p,0.95,0.93,0.0,93,0,100,363,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,top_p,0.99,1.0,0.02,100,2,100,634,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,min_p,0.01,0.79,0.0,79,0,100,210,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,min_p,0.02,0.73,0.0,73,0,100,183,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,min_p,0.03,0.67,0.0,67,0,100,161,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,min_p,0.04,0.65,0.0,65,0,100,145,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,min_p,0.05,0.62,0.0,62,0,100,132,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,min_p,0.06,0.61,0.0,61,0,100,125,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,min_p,0.07,0.59,0.0,59,0,100,120,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,min_p,0.08,0.56,0.0,56,0,100,113,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,min_p,0.09,0.55,0.0,55,0,100,108,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.0,google/gemma-3-27b-it,min_p,0.1,0.54,0.0,54,0,100,104,1000,/tf/WCS/results/gemma3_27b_unquantized/t1/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,1.0,0.32,0.0,32,0,100,46,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,2.0,0.45,0.0,45,0,100,71,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,3.0,0.5,0.0,50,0,100,90,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,4.0,0.53,0.0,53,0,100,106,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,5.0,0.58,0.0,58,0,100,114,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,6.0,0.62,0.0,62,0,100,127,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,7.0,0.64,0.0,64,0,100,135,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,8.0,0.64,0.0,64,0,100,146,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,9.0,0.67,0.0,67,0,100,160,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
1.5,google/gemma-3-27b-it,top_k,10.0,0.69,0.0,69,0,100,167,1000,/tf/WCS/results/gemma3_27b_unquantized/t1p5/audit.gemma3-27b-it.jsonl
